experiment,model_type,num_layers,activation,hidden_dim,temperature,final_loss,best_loss,out_dir
LSTM_layers3_hidden256_Tanh,LSTM,3,Tanh,256,1.0,0.2536704594807146,0.2536704594807146,results_sweep\LSTM_layers3_hidden256_Tanh
LSTM_layers3_hidden128_ReLU,LSTM,3,ReLU,128,1.0,0.7194120878953814,0.7194120878953814,results_sweep\LSTM_layers3_hidden128_ReLU
LSTM_layers3_hidden256_ReLU,LSTM,3,ReLU,256,1.0,0.2553091528650108,0.2553091528650108,results_sweep\LSTM_layers3_hidden256_ReLU
LSTM_layers3_hidden128_GELU,LSTM,3,GELU,128,1.0,0.7896902815567399,0.7896902815567399,results_sweep\LSTM_layers3_hidden128_GELU
LSTM_layers3_hidden256_GELU,LSTM,3,GELU,256,1.0,0.27280210086366624,0.27280210086366624,results_sweep\LSTM_layers3_hidden256_GELU
GRU_layers1_hidden128_Tanh,GRU,1,Tanh,128,1.0,0.18216302741521573,0.18216302741521573,results_sweep\GRU_layers1_hidden128_Tanh
GRU_layers1_hidden256_Tanh,GRU,1,Tanh,256,1.0,0.14586121277205616,0.14586121277205616,results_sweep\GRU_layers1_hidden256_Tanh
GRU_layers1_hidden128_ReLU,GRU,1,ReLU,128,1.0,0.19689379766521095,0.19689379766521095,results_sweep\GRU_layers1_hidden128_ReLU
GRU_layers1_hidden256_ReLU,GRU,1,ReLU,256,1.0,0.1472000724102164,0.14707670010096358,results_sweep\GRU_layers1_hidden256_ReLU
GRU_layers1_hidden128_GELU,GRU,1,GELU,128,1.0,0.22145986076927585,0.2212489436859865,results_sweep\GRU_layers1_hidden128_GELU
GRU_layers1_hidden256_GELU,GRU,1,GELU,256,1.0,0.14591911051687337,0.14580956636051254,results_sweep\GRU_layers1_hidden256_GELU
GRU_layers2_hidden128_Tanh,GRU,2,Tanh,128,1.0,0.3426117494889383,0.3426117494889383,results_sweep\GRU_layers2_hidden128_Tanh
GRU_layers2_hidden256_Tanh,GRU,2,Tanh,256,1.0,0.1885223635569776,0.1885223635569776,results_sweep\GRU_layers2_hidden256_Tanh
GRU_layers2_hidden128_ReLU,GRU,2,ReLU,128,1.0,0.374035849419099,0.374035849419099,results_sweep\GRU_layers2_hidden128_ReLU
GRU_layers2_hidden256_ReLU,GRU,2,ReLU,256,1.0,0.2004181754826003,0.20011188208308678,results_sweep\GRU_layers2_hidden256_ReLU
GRU_layers2_hidden128_GELU,GRU,2,GELU,128,1.0,0.3683011388429538,0.3683011388429538,results_sweep\GRU_layers2_hidden128_GELU
GRU_layers2_hidden256_GELU,GRU,2,GELU,256,1.0,0.19102716938471695,0.19097762844801947,results_sweep\GRU_layers2_hidden256_GELU
GRU_layers3_hidden128_Tanh,GRU,3,Tanh,128,1.0,0.5629135716909145,0.5629135716909145,results_sweep\GRU_layers3_hidden128_Tanh
GRU_layers3_hidden256_Tanh,GRU,3,Tanh,256,1.0,0.24317661304977647,0.24317661304977647,results_sweep\GRU_layers3_hidden256_Tanh
GRU_layers3_hidden128_ReLU,GRU,3,ReLU,128,1.0,0.6273858635744789,0.6273858635744789,results_sweep\GRU_layers3_hidden128_ReLU
GRU_layers3_hidden256_ReLU,GRU,3,ReLU,256,1.0,0.2789365898303407,0.27879708946125276,results_sweep\GRU_layers3_hidden256_ReLU
GRU_layers3_hidden128_GELU,GRU,3,GELU,128,1.0,0.628734427141844,0.628734427141844,results_sweep\GRU_layers3_hidden128_GELU
GRU_layers3_hidden256_GELU,GRU,3,GELU,256,1.0,0.2595305453097471,0.2595305453097471,results_sweep\GRU_layers3_hidden256_GELU
RNN_layers1_hidden128_Tanh,RNN,1,Tanh,128,1.0,0.19853845843460768,0.19853845843460768,results_sweep\RNN_layers1_hidden128_Tanh
RNN_layers1_hidden256_Tanh,RNN,1,Tanh,256,1.0,0.15223802969046715,0.15223802969046715,results_sweep\RNN_layers1_hidden256_Tanh
RNN_layers1_hidden128_ReLU,RNN,1,ReLU,128,1.0,0.1673144633924612,0.1673144633924612,results_sweep\RNN_layers1_hidden128_ReLU
RNN_layers1_hidden256_ReLU,RNN,1,ReLU,256,1.0,0.15588363652822862,0.15551759555125336,results_sweep\RNN_layers1_hidden256_ReLU
RNN_layers2_hidden128_Tanh,RNN,2,Tanh,128,1.0,0.49794311958626225,0.49794311958626225,results_sweep\RNN_layers2_hidden128_Tanh
RNN_layers2_hidden256_Tanh,RNN,2,Tanh,256,1.0,0.24008336329684596,0.24008336329684596,results_sweep\RNN_layers2_hidden256_Tanh
